Accession,Release_Date,Species,Length,Nuc_Completeness
NC_032113,2016-12-16T00:00:00Z,Bivalve RNA virus G2,8051,complete
NC_032114,2016-12-16T00:00:00Z,Bivalve RNA virus G3,7915,complete
NC_032115,2016-12-16T00:00:00Z,Bivalve RNA virus G5,7835,complete
NC_032116,2016-12-16T00:00:00Z,Bivalve RNA virus G4,7567,complete
NC_032117,2016-12-16T00:00:00Z,Bivalve hepelivirus G,7401,complete
NC_032118,2016-12-16T00:00:00Z,Vernonia crinkle virus,2791,complete
NC_032119,2016-12-16T00:00:00Z,Vernonia crinkle betasatellite,1365,complete
NC_032120,2016-12-16T00:00:00Z,Leptonychotes weddellii polyomavirus 1,5186,complete
NC_032087,2016-12-14T00:00:00Z,Euscelidius variegatus virus 1,10623,complete
NC_032097,2016-12-14T00:00:00Z,Desmodus rotundus parvovirus,4284,complete
NC_032104,2016-12-14T00:00:00Z,Arachis pintoi virus,7599,complete
NC_032105,2016-12-14T00:00:00Z,Simian mastadenovirus I,33562,complete
NC_032106,2016-12-14T00:00:00Z,Saccharomyces kudriavzevii virus L-A1,4580,complete
NC_032107,2016-12-14T00:00:00Z,NL63-related bat coronavirus strain BtKYNL63-9b,28363,complete
NC_032108,2016-12-14T00:00:00Z,Cedratvirus A11,589068,complete
NC_032088,2016-12-08T00:00:00Z,Kokobera virus,10864,complete
NC_032004,2016-12-06T00:00:00Z,Sugarcane chlorotic streak virus,2757,complete
NC_032005,2016-12-06T00:00:00Z,Rattus norvegicus polyomavirus 2,5108,complete
NC_032006,2016-12-06T00:00:00Z,Tomato mottle leaf curl virus,2632,complete
NC_031988,2016-11-29T00:00:00Z,Gannoruwa bat lyssavirus,11919,complete
NC_032001,2016-11-29T00:00:00Z,Only Syngen Nebraska virus 5,327147,complete
NC_031955,2016-11-21T00:00:00Z,Lleida bat lyssavirus,11931,complete
NC_029548,2016-11-17T00:00:00Z,Pyrobaculum filamentous virus 1,17714,complete
NC_031021,2016-11-17T00:00:00Z,Salmonella phage MA12,41224,complete
NC_031045,2016-11-17T00:00:00Z,Salmonella virus GG32,157855,complete
NC_031948,2016-11-17T00:00:00Z,Bat mastadenovirus G,31481,complete
NC_031950,2016-11-17T00:00:00Z,Hepacivirus D,10471,complete
NC_031900,2016-11-15T00:00:00Z,Synechococcus phage S-CAM4,191983,complete
NC_031901,2016-11-15T00:00:00Z,Streptococcus phage phiARI0131-1,42927,complete
NC_031902,2016-11-15T00:00:00Z,Salmonella virus 118970sal2,125114,complete
NC_031903,2016-11-15T00:00:00Z,Synechococcus phage S-CAM22,172345,complete
NC_031904,2016-11-15T00:00:00Z,Flavobacterium phage Fpv3,88421,complete
NC_031905,2016-11-15T00:00:00Z,Flavobacterium phage Fpv7,42894,complete
NC_031906,2016-11-15T00:00:00Z,Synechococcus virus SCAM3,198190,complete
NC_031907,2016-11-15T00:00:00Z,Streptococcus phage phiARI0746,33181,complete
NC_031908,2016-11-15T00:00:00Z,Pseudoalteromonas phage PH1,42685,complete
NC_031909,2016-11-15T00:00:00Z,Campylobacter phage PC14,134927,complete
NC_031910,2016-11-15T00:00:00Z,Streptococcus phage phiARI0031,41887,complete
NC_031911,2016-11-15T00:00:00Z,Flavobacterium virus 1H,39290,complete
NC_031912,2016-11-15T00:00:00Z,Flavobacterium phage Fpv20,89937,complete
NC_031913,2016-11-15T00:00:00Z,Streptococcus phage phiARI0460-1,41807,complete
NC_031914,2016-11-15T00:00:00Z,Flavobacterium virus Fpv1,88994,complete
NC_031915,2016-11-15T00:00:00Z,Streptococcus phage phiARI0468-4,37395,complete
NC_031916,2016-11-15T00:00:00Z,Hepacivirus L,8916,complete
NC_031917,2016-11-15T00:00:00Z,Pseudoalteromonas phage BS5,39949,complete
NC_031918,2016-11-15T00:00:00Z,Salmonella phage 64795_sal3,45342,complete
NC_031919,2016-11-15T00:00:00Z,Flavobacterium phage Fpv8,42696,complete
NC_031920,2016-11-15T00:00:00Z,Streptococcus phage phiARI0004,41105,complete
NC_031921,2016-11-15T00:00:00Z,Flavobacterium phage Fpv5,42696,complete
NC_031922,2016-11-15T00:00:00Z,Synechococcus virus SCAM9,174830,complete
NC_031923,2016-11-15T00:00:00Z,Streptococcus phage phiARI0468-2,42186,complete
NC_031924,2016-11-15T00:00:00Z,Salmonella phage IME207,47564,complete
NC_031925,2016-11-15T00:00:00Z,Salmonella phage BPS11Q3,43788,complete
NC_031926,2016-11-15T00:00:00Z,Flavobacterium virus 2A,46575,complete
NC_031927,2016-11-15T00:00:00Z,Synechococcus phage S-CAM7,216121,complete
NC_031928,2016-11-15T00:00:00Z,Escherichia virus WG01,169936,complete
NC_031929,2016-11-15T00:00:00Z,Streptococcus phage phiARI0468-1,41063,complete
NC_031930,2016-11-15T00:00:00Z,Salmonella phage 118970_sal1,59518,complete
NC_031931,2016-11-15T00:00:00Z,Flavobacterium phage Fpv2,89010,complete
NC_031932,2016-11-15T00:00:00Z,Flavobacterium phage Fpv10,42702,complete
NC_031933,2016-11-15T00:00:00Z,Salmonella virus 118970sal2,114180,complete
NC_031934,2016-11-15T00:00:00Z,Escherichia virus MX01,168929,complete
NC_031935,2016-11-15T00:00:00Z,Synechococcus virus SWAM2,186386,complete
NC_031936,2016-11-15T00:00:00Z,Gordonia virus GAL1,49979,complete
NC_031937,2016-11-15T00:00:00Z,Escherichia virus LM33P1,38979,complete
NC_031938,2016-11-15T00:00:00Z,Flavobacterium phage Fpv6,42820,complete
NC_031939,2016-11-15T00:00:00Z,Salmonella virus BPS15Q2,89817,complete
NC_031940,2016-11-15T00:00:00Z,Salmonella phage 118970_sal3,77375,complete
NC_031941,2016-11-15T00:00:00Z,Streptococcus phage phiARI0131-2,34563,complete
NC_031942,2016-11-15T00:00:00Z,Streptococcus phage phiARI0462,40498,complete
NC_031943,2016-11-15T00:00:00Z,Escherichia virus GA2A,40470,complete
NC_031944,2016-11-15T00:00:00Z,Synechococcus phage S-WAM1,185102,complete
NC_031945,2016-11-15T00:00:00Z,Flavobacterium phage Fpv11,42696,complete
NC_031946,2016-11-15T00:00:00Z,Salmonella phage 103203_sal5,40443,complete
NC_031947,2016-11-15T00:00:00Z,Bat hepacivirus,9224,complete
NC_031800,2016-11-14T00:00:00Z,Cherry associated luteovirus,5857,complete
NC_031760,2016-11-10T00:00:00Z,Cotton leaf curl virus,2753,complete
NC_031761,2016-11-10T00:00:00Z,Anticarsia gemmatalis multiple nucleopolyhedrovirus,131855,complete
NC_031762,2016-11-10T00:00:00Z,Zucchini lethal chlorosis orthotospovirus,8885,complete
NC_031763,2016-11-10T00:00:00Z,Dioscorea mosaic associated virus,3810,complete
NC_031764,2016-11-10T00:00:00Z,Passionfruit leaf distortion virus,2600,complete
NC_031765,2016-11-10T00:00:00Z,Passionfruit leaf distortion virus,2572,complete
NC_031766,2016-11-10T00:00:00Z,Dioscorea mosaic associated virus,5979,complete
NC_031747,2016-11-04T00:00:00Z,White clover mottle virus,6205,complete
NC_031748,2016-11-04T00:00:00Z,Lodeiro virus,9850,complete
NC_031749,2016-11-04T00:00:00Z,King virus,10193,complete
NC_031750,2016-11-04T00:00:00Z,Riptortus pedestris virus-1,10562,complete
NC_031751,2016-11-04T00:00:00Z,Amdoparvovirus sp.,4662,complete
NC_031752,2016-11-04T00:00:00Z,Botrytis cinerea betaendornavirus 1,11557,complete
NC_031753,2016-11-04T00:00:00Z,Porcine circovirus 3,2000,complete
NC_031754,2016-11-04T00:00:00Z,Okra enation leaf curl virus,2738,complete
NC_031755,2016-11-04T00:00:00Z,Mouse associated cyclovirus 1,2229,complete
NC_031756,2016-11-04T00:00:00Z,Treiskappapapillomavirus 1,8155,complete
NC_031757,2016-11-04T00:00:00Z,Polyomavirus sp.,4564,complete
NC_031758,2016-11-04T00:00:00Z,Zucchini lethal chlorosis orthotospovirus,4860,complete
NC_031759,2016-11-04T00:00:00Z,Zucchini lethal chlorosis orthotospovirus,3524,complete
NC_031686,2016-11-01T00:00:00Z,Corey virus,9220,complete
NC_031687,2016-11-01T00:00:00Z,Centovirus,9070,complete
NC_031688,2016-11-01T00:00:00Z,Centovirus,9018,complete
NC_031689,2016-11-01T00:00:00Z,Bradson virus,9875,complete
NC_031690,2016-11-01T00:00:00Z,Orgi virus,11308,complete
NC_031691,2016-11-01T00:00:00Z,Gata virus,11238,complete
NC_031693,2016-11-01T00:00:00Z,Burke-Gilman virus,10025,complete
NC_031670,2016-10-28T00:00:00Z,Tetraparvovirus sp.,5050,complete
NC_031692,2016-10-28T00:00:00Z,Grapevine asteroid mosaic associated virus,6719,complete
NC_031695,2016-10-28T00:00:00Z,Rhinolophus sinicus bocaparvovirus,5414,complete
NC_031503,2016-10-21T00:00:00Z,Pigeon aviadenovirus B,41981,complete
NC_031461,2016-10-20T00:00:00Z,Ceratobasidium endornavirus C,21004,complete
NC_031465,2016-10-19T00:00:00Z,Golden Marseillevirus,360610,complete
NC_031466,2016-10-19T00:00:00Z,Lisianthus enation leaf curl virus,2759,complete
NC_031462,2016-10-18T00:00:00Z,Ceratobasidium endornavirus A,15207,complete
NC_031463,2016-10-18T00:00:00Z,Ceratobasidium endornavirus B,23635,complete
NC_031464,2016-10-18T00:00:00Z,Ceratobasidium endornavirus G,19293,complete
NC_031448,2016-10-17T00:00:00Z,Macroptilium common mosaic virus,2632,complete
NC_031449,2016-10-17T00:00:00Z,Ceratobasidium endornavirus D,19406,complete
NC_031450,2016-10-17T00:00:00Z,Parus major densovirus,5166,complete
NC_031451,2016-10-17T00:00:00Z,Wissadula yellow mosaic virus,2621,complete
NC_031452,2016-10-17T00:00:00Z,Macroptilium bright mosaic virus,2636,complete
NC_031453,2016-10-17T00:00:00Z,Macroptilium common mosaic virus,2598,complete
NC_031454,2016-10-17T00:00:00Z,Sida chlorotic vein virus,2491,complete
NC_031455,2016-10-17T00:00:00Z,Sida chlorotic vein virus,2654,complete
NC_031456,2016-10-17T00:00:00Z,Sida angular mosaic virus,2692,complete
NC_031457,2016-10-17T00:00:00Z,Sida angular mosaic virus,2657,complete
NC_031458,2016-10-17T00:00:00Z,Malvastrum bright yellow mosaic virus,2609,complete
NC_031459,2016-10-17T00:00:00Z,Malvastrum bright yellow mosaic virus,2604,complete
NC_031338,2016-10-13T00:00:00Z,Moku virus,10056,complete
NC_031339,2016-10-13T00:00:00Z,Euphorbia ringspot virus,10154,complete
NC_031340,2016-10-13T00:00:00Z,Grapevine geminivirus A,2905,complete
NC_031341,2016-10-13T00:00:00Z,Privet idaeovirus,5377,complete
NC_031342,2016-10-13T00:00:00Z,Privet idaeovirus,2348,complete
NC_031336,2016-10-07T00:00:00Z,Winged bean alphaendornavirus 1,14623,complete
NC_031326,2016-10-05T00:00:00Z,Simian retrovirus 8,8126,complete
NC_031327,2016-10-05T00:00:00Z,Anopheles flavivirus Liberia/2013,10588,complete
NC_031324,2016-10-03T00:00:00Z,Primate norovirus,7753,complete
NC_031301,2016-09-30T00:00:00Z,Wuhan ledantevirus,11103,complete
NC_031302,2016-09-30T00:00:00Z,Wuhan Louse Fly Virus 9,11370,complete
NC_031303,2016-09-30T00:00:00Z,Wuhan Mosquito Virus 9,13706,complete
NC_031304,2016-09-30T00:00:00Z,Wuhan Tick Virus 1,10306,complete
NC_031305,2016-09-30T00:00:00Z,Yongjia ledantevirus,10833,complete
NC_031306,2016-09-30T00:00:00Z,Synedrella leaf curl virus,2749,complete
NC_031307,2016-09-30T00:00:00Z,Wuhan mosquito orthophasmavirus 1,6474,complete
NC_031308,2016-09-30T00:00:00Z,Wuhan mosquito orthophasmavirus 1,2217,complete
NC_031309,2016-09-30T00:00:00Z,Wuhan mosquito orthophasmavirus 2,2073,complete
NC_031310,2016-09-30T00:00:00Z,Wuhan mosquito orthophasmavirus 1,2111,complete
NC_031311,2016-09-30T00:00:00Z,Wuhan mosquito orthophasmavirus 2,2208,complete
NC_031312,2016-09-30T00:00:00Z,Wuhan mosquito orthophasmavirus 2,6574,complete
NC_031313,2016-09-30T00:00:00Z,Horsefly horwuvirus,9549,complete
NC_031314,2016-09-30T00:00:00Z,Horsefly horwuvirus,1698,complete
NC_031315,2016-09-30T00:00:00Z,Horsefly horwuvirus,1889,complete
NC_031316,2016-09-30T00:00:00Z,Horsefly horwuvirus,2804,complete
NC_031317,2016-09-30T00:00:00Z,Wutai mosquito phasivirus,6754,complete
NC_031318,2016-09-30T00:00:00Z,Wutai mosquito phasivirus,3864,complete
NC_031319,2016-09-30T00:00:00Z,Wutai mosquito phasivirus,1454,complete
NC_031320,2016-09-30T00:00:00Z,Yichang insect goukovirus,6421,complete
NC_031321,2016-09-30T00:00:00Z,Yichang insect goukovirus,3278,complete
NC_031322,2016-09-30T00:00:00Z,Yichang insect goukovirus,1030,complete
NC_031224,2016-09-27T00:00:00Z,Arthrobacter virus Mudcat,59443,complete
NC_031225,2016-09-27T00:00:00Z,Wuhan 4 insect cytorhabdovirus,13490,complete
NC_031226,2016-09-27T00:00:00Z,Gordonia virus BaxterFox,53717,complete
NC_031227,2016-09-27T00:00:00Z,Wuhan 5 insect cytorhabdovirus,12734,complete
NC_031228,2016-09-27T00:00:00Z,Salmonella phage BP12C,60606,complete
NC_031229,2016-09-27T00:00:00Z,Gordonia virus Hotorobo,76972,complete
NC_031230,2016-09-27T00:00:00Z,Gordonia virus Yvonnetastic,98136,complete
NC_031231,2016-09-27T00:00:00Z,Arthrobacter virus Kellezzio,58871,complete
NC_031232,2016-09-27T00:00:00Z,Wuhan 6 insect cytorhabdovirus,14191,complete
NC_031233,2016-09-27T00:00:00Z,Gordonia virus Kita,50346,complete
NC_031234,2016-09-27T00:00:00Z,Gordonia virus Emalyn,43982,complete
NC_031235,2016-09-27T00:00:00Z,Cyanophage S-RIM32,194437,complete
NC_031236,2016-09-27T00:00:00Z,Wuhan Insect virus 7,11165,complete
NC_031237,2016-09-27T00:00:00Z,Gordonia phage Obliviate,49286,complete
NC_031238,2016-09-27T00:00:00Z,Mycobacterium phage Catalina,53411,complete
NC_031239,2016-09-27T00:00:00Z,Gordonia virus Vivi2,59337,complete
NC_031240,2016-09-27T00:00:00Z,Wuhan Louse Fly Virus 10,11541,complete
NC_031241,2016-09-27T00:00:00Z,Staphylococcus phage CNPx,43293,complete
NC_031242,2016-09-27T00:00:00Z,Synechococcus virus SRIM50,174307,complete
NC_031243,2016-09-27T00:00:00Z,Mycobacterium virus Xeno,42395,complete
NC_031244,2016-09-27T00:00:00Z,Xincheng anphevirus,12774,complete
NC_031245,2016-09-27T00:00:00Z,Bacillus virus SP15,221908,complete
NC_031246,2016-09-27T00:00:00Z,Klebsiella virus KpV71,43267,complete
NC_031247,2016-09-27T00:00:00Z,Gordonia virus BetterKatz,50636,complete
NC_031248,2016-09-27T00:00:00Z,Charybdis mivirus,12860,complete
NC_031249,2016-09-27T00:00:00Z,Gordonia phage UmaThurman,50127,complete
NC_031250,2016-09-27T00:00:00Z,Salmonella virus BP63,52437,complete
NC_031251,2016-09-27T00:00:00Z,Gordonia phage SoilAssassin,47880,complete
NC_031252,2016-09-27T00:00:00Z,Arthrobacter virus BarretLemon,51290,complete
NC_031253,2016-09-27T00:00:00Z,Mycobacterium phage Bipper,77832,complete
NC_031254,2016-09-27T00:00:00Z,Arthrobacter virus Kitkat,58560,complete
NC_031255,2016-09-27T00:00:00Z,Gordonia virus Schnabeltier,46895,complete
NC_031256,2016-09-27T00:00:00Z,Mycobacterium phage Loser,53486,complete
NC_031257,2016-09-27T00:00:00Z,Mycobacterium phage Mulciber,52428,complete
NC_031258,2016-09-27T00:00:00Z,Salmonella virus BP12A,39696,complete
NC_031259,2016-09-27T00:00:00Z,Lishi arlivirus,9924,complete
NC_031260,2016-09-27T00:00:00Z,Enterococcus virus EcZZ2,41170,complete
NC_031261,2016-09-27T00:00:00Z,Mycobacterium phage Shipwreck,48670,complete
NC_031262,2016-09-27T00:00:00Z,Mycobacterium phage Brocalys,54751,complete
NC_031263,2016-09-27T00:00:00Z,Mycobacterium phage EvilGenius,53935,complete
NC_031264,2016-09-27T00:00:00Z,Brucella phage BiPBO1,46877,complete
NC_031265,2016-09-27T00:00:00Z,Gordonia phage Guacamole,49894,complete
NC_031266,2016-09-27T00:00:00Z,Mycobacterium virus Phrann,44872,complete
NC_031267,2016-09-27T00:00:00Z,Gordonia virus Lucky10,42979,complete
NC_031268,2016-09-27T00:00:00Z,Tacheng Tick Virus 3,8683,complete
NC_031269,2016-09-27T00:00:00Z,Gordonia virus Yeezy,51884,complete
NC_031270,2016-09-27T00:00:00Z,Tacheng arlivirus,10787,complete
NC_031271,2016-09-27T00:00:00Z,Salmonella virus BP12B,43602,complete
NC_031272,2016-09-27T00:00:00Z,Tacheng Tick Virus 7,13408,complete
NC_031273,2016-09-27T00:00:00Z,Taishun Tick Virus,11280,complete
NC_031274,2016-09-27T00:00:00Z,Pseudomonas phage O4,50509,complete
NC_031275,2016-09-27T00:00:00Z,Wenzhou crustavirus,9591,complete
NC_031276,2016-09-27T00:00:00Z,Wuhan Ant Virus,7202,complete
NC_031277,2016-09-27T00:00:00Z,Mycobacterium phage ArcherNM,52561,complete
NC_031278,2016-09-27T00:00:00Z,Wuhan Fly Virus 2,12247,complete
NC_031279,2016-09-27T00:00:00Z,Mycobacterium phage Bactobuster,52129,complete
NC_031280,2016-09-27T00:00:00Z,Acinetobacter phage vB_AbaM_phiAbaA1,104906,complete
NC_031281,2016-09-27T00:00:00Z,Mycobacterium virus Panchino,43516,complete
NC_031282,2016-09-27T00:00:00Z,Wuhan House Fly Virus 1,12651,complete
NC_031283,2016-09-27T00:00:00Z,Wuhan House Fly Virus 2,14731,complete
NC_031284,2016-09-27T00:00:00Z,Burana orthonairovirus,12184,complete
NC_031285,2016-09-27T00:00:00Z,Burana orthonairovirus,5147,complete
NC_031286,2016-09-27T00:00:00Z,Burana orthonairovirus,1840,complete
NC_031287,2016-09-27T00:00:00Z,Shrimp wenrivirus,6284,complete
NC_031288,2016-09-27T00:00:00Z,Wenzhou Tick Virus,4428,complete
NC_031289,2016-09-27T00:00:00Z,Wenzhou Tick Virus,1790,complete
NC_031290,2016-09-27T00:00:00Z,Shrimp wenrivirus,898,complete
NC_031291,2016-09-27T00:00:00Z,Wenzhou Tick Virus,12073,complete
NC_031292,2016-09-27T00:00:00Z,Shrimp wenrivirus,2969,complete
NC_031293,2016-09-27T00:00:00Z,Wuchang cockroach orthophasmavirus 1,6493,complete
NC_031294,2016-09-27T00:00:00Z,Wuchang cockroach orthophasmavirus 1,2636,complete
NC_031295,2016-09-27T00:00:00Z,Fly wubeivirus,4454,complete
NC_031296,2016-09-27T00:00:00Z,Wuchang cockroach orthophasmavirus 1,1808,complete
NC_031297,2016-09-27T00:00:00Z,Fly wubeivirus,1116,complete
NC_031298,2016-09-27T00:00:00Z,Fly wubeivirus,6779,complete
NC_029054,2016-09-26T00:00:00Z,Saboya virus,10173,complete
NC_031214,2016-09-26T00:00:00Z,Shayang mivirus,13732,complete
NC_031215,2016-09-26T00:00:00Z,Shayang Fly Virus 2,12291,complete
NC_031216,2016-09-26T00:00:00Z,Shayang Fly Virus 3,15462,complete
NC_031217,2016-09-26T00:00:00Z,Shuangao Bedbug Virus 2,10925,complete
NC_031218,2016-09-26T00:00:00Z,Spider shaspivirus,4805,complete
NC_031219,2016-09-26T00:00:00Z,Spider shaspivirus,1940,complete
NC_031220,2016-09-26T00:00:00Z,Spider shaspivirus,13486,complete
NC_031221,2016-09-26T00:00:00Z,Insect shangavirus,7323,complete
NC_031222,2016-09-26T00:00:00Z,Insect shangavirus,4753,complete
NC_031223,2016-09-26T00:00:00Z,Insect shangavirus,1233,complete
NC_030953,2016-09-23T00:00:00Z,Shigella phage SHFML-11,170650,complete
NC_031001,2016-09-23T00:00:00Z,Gordonia virus Terapin,66611,complete
NC_031002,2016-09-23T00:00:00Z,Lactococcus phage M6162,21697,complete
NC_031003,2016-09-23T00:00:00Z,Propionibacterium phage Moyashi,29254,complete
NC_031004,2016-09-23T00:00:00Z,Gordonia virus Nyceirae,41857,complete
NC_031005,2016-09-23T00:00:00Z,Propionibacterium phage QueenBey,29338,complete
NC_031006,2016-09-23T00:00:00Z,Bacillus phage DIGNKC,161552,complete
NC_031007,2016-09-23T00:00:00Z,Erwinia phage vB_EamM_EarlPhillipIV,223935,complete
NC_031008,2016-09-23T00:00:00Z,Staphylococcus virus SLPW,17861,complete
NC_031009,2016-09-23T00:00:00Z,Lactococcus phage D4412,22884,complete
NC_031010,2016-09-23T00:00:00Z,Erwinia phage vB_EamM_Kwan,246390,complete
NC_031011,2016-09-23T00:00:00Z,Shigella phage SHFML-26,168993,complete
NC_031012,2016-09-23T00:00:00Z,Bacillus phage Kida,162151,complete
NC_031013,2016-09-23T00:00:00Z,Lactococcus phage 28201,34396,complete
NC_031014,2016-09-23T00:00:00Z,Pseudomonas virus Andromeda,40008,complete
NC_031015,2016-09-23T00:00:00Z,Bacillus phage Claudi,26504,complete
NC_031016,2016-09-23T00:00:00Z,Lactococcus phage PLgT-1,40273,complete
NC_031017,2016-09-23T00:00:00Z,Lactococcus phage 63301,32409,complete
NC_031018,2016-09-23T00:00:00Z,Citrobacter virus SH4,39274,complete
NC_031019,2016-09-23T00:00:00Z,Enterobacteria phage UAB_Phi20,41809,complete
NC_031020,2016-09-23T00:00:00Z,Morganella phage vB_MmoM_MP1,163201,complete
NC_031022,2016-09-23T00:00:00Z,Shigella virus SHSML45,108050,complete
NC_031023,2016-09-23T00:00:00Z,Streptococcus virus 9874,32649,complete
NC_031024,2016-09-23T00:00:00Z,Bacillus phage Belinda,162308,complete
NC_031025,2016-09-23T00:00:00Z,Klebsiella virus KpV475,42201,complete
NC_031026,2016-09-23T00:00:00Z,Salmonella virus phSE2,49167,complete
NC_031027,2016-09-23T00:00:00Z,Bacillus phage SageFayge,162359,complete
NC_031028,2016-09-23T00:00:00Z,Gordonia virus Ghobes,45285,complete
NC_031029,2016-09-23T00:00:00Z,Gordonia phage Cucurbita,93686,complete
NC_031030,2016-09-23T00:00:00Z,Escherichia phage UFV-AREG1,170788,complete
NC_031031,2016-09-23T00:00:00Z,Gordonia phage Remus,52738,complete
NC_031032,2016-09-23T00:00:00Z,Bacillus phage Stitch,24320,complete
NC_031033,2016-09-23T00:00:00Z,Volepox virus,217124,complete
NC_031034,2016-09-23T00:00:00Z,Bacillus phage SalinJah,161140,complete
NC_031035,2016-09-23T00:00:00Z,Mycobacterium phage Gengar,61626,complete
NC_031036,2016-09-23T00:00:00Z,Lactobacillus phage PLE2,35068,complete
NC_031037,2016-09-23T00:00:00Z,Bacillus phage Nigalana,163041,complete
NC_031038,2016-09-23T00:00:00Z,Skunkpox virus,222832,complete
NC_031039,2016-09-23T00:00:00Z,Bacillus phage AR9,251042,complete
NC_031040,2016-09-23T00:00:00Z,Lactococcus phage 50101,31987,complete
NC_031041,2016-09-23T00:00:00Z,Mycobacterium phage Papez,52501,complete
NC_031042,2016-09-23T00:00:00Z,Salmonella virus NR01,111325,complete
NC_031043,2016-09-23T00:00:00Z,Erwinia phage vB_EamM_Phobos,229501,complete
NC_031044,2016-09-23T00:00:00Z,Lactococcus phage M6165,22179,complete
NC_031046,2016-09-23T00:00:00Z,Staphylococcus virus BP39,17641,complete
NC_031047,2016-09-23T00:00:00Z,Escherichia virus HY03,170770,complete
NC_031048,2016-09-23T00:00:00Z,Enterobacter phage Arya,41918,complete
NC_031049,2016-09-23T00:00:00Z,Bacillus phage NotTheCreek,161929,complete
NC_031050,2016-09-23T00:00:00Z,Escherichia virus NBD2,51802,complete
NC_031051,2016-09-23T00:00:00Z,Enterococcus virus SANTOR1,37933,complete
NC_031052,2016-09-23T00:00:00Z,Gordonia virus Twister6,57804,complete
NC_031053,2016-09-23T00:00:00Z,Klebsiella virus PKP126,50934,complete
NC_031054,2016-09-23T00:00:00Z,Bacillus phage DirtyBetty,162415,complete
NC_031055,2016-09-23T00:00:00Z,Bacillus phage PfEFR-5,43773,complete
NC_031056,2016-09-23T00:00:00Z,Bacillus virus Deepblue,157501,complete
NC_031057,2016-09-23T00:00:00Z,Citrobacter phage vB_CfrM_CfP1,180219,complete
NC_031058,2016-09-23T00:00:00Z,Pseudomonas virus NP1,58566,complete
NC_031059,2016-09-23T00:00:00Z,Rhodovulum phage vB_RhkS_P1,38773,complete
NC_031060,2016-09-23T00:00:00Z,Gordonia phage JSwag,52726,complete
NC_031061,2016-09-23T00:00:00Z,Gordonia virus Nymphadora,53431,complete
NC_031062,2016-09-23T00:00:00Z,Erwinia virus Frozen,75147,complete
NC_031063,2016-09-23T00:00:00Z,Pseudomonas virus Ab09,72697,complete
NC_031064,2016-09-23T00:00:00Z,Lactococcus phage 98201,36202,complete
NC_031065,2016-09-23T00:00:00Z,Salmonella phage vB_SnwM_CGG4-1,159878,complete
NC_031066,2016-09-23T00:00:00Z,Citrobacter virus SH1,39434,complete
NC_031067,2016-09-23T00:00:00Z,Mycobacterium phage Makemake,52496,complete
NC_031068,2016-09-23T00:00:00Z,Pectobacterium virus PP16,44268,complete
NC_031069,2016-09-23T00:00:00Z,Streptococcus virus 9871,32729,complete
NC_031070,2016-09-23T00:00:00Z,Bacillus phage Nemo,162375,complete
NC_031071,2016-09-23T00:00:00Z,Lactococcus phage D4410,22825,complete
NC_031072,2016-09-23T00:00:00Z,Gordonia phage CaptainKirk2,47898,complete
NC_031073,2016-09-23T00:00:00Z,Pseudomonas virus MAG1,94555,complete
NC_031074,2016-09-23T00:00:00Z,Gordonia virus Bantam,92580,complete
NC_031075,2016-09-23T00:00:00Z,Lactococcus phage M5938,22240,complete
NC_031076,2016-09-23T00:00:00Z,Propionibacterium virus PFR1,38071,complete
NC_031077,2016-09-23T00:00:00Z,Enterobacter phage Tyrion,41760,complete
NC_031078,2016-09-23T00:00:00Z,Streptomyces phage Nanodon,50082,complete
NC_031079,2016-09-23T00:00:00Z,Bole Tick Virus 2,11843,complete
NC_031080,2016-09-23T00:00:00Z,Mycobacterium phage Tonenili,160985,complete
NC_031081,2016-09-23T00:00:00Z,Escherichia phage Envy,45206,complete
NC_031082,2016-09-23T00:00:00Z,Escherichia virus Alf5,87662,complete
NC_031083,2016-09-23T00:00:00Z,Huangpi Tick Virus 3,13169,complete
NC_031084,2016-09-23T00:00:00Z,Propionibacterium phage BruceLethal,29249,complete
NC_031085,2016-09-23T00:00:00Z,Shigella virus SHBML501,166634,complete
NC_031086,2016-09-23T00:00:00Z,Acinetobacter virus phiAB6,40570,complete
NC_031087,2016-09-23T00:00:00Z,Klebsiella phage vB_KpnM_KpV477,168272,complete
NC_031088,2016-09-23T00:00:00Z,Gerrid arlivirus,12930,complete
NC_031089,2016-09-23T00:00:00Z,Ligustrum virus A,8525,complete
NC_031090,2016-09-23T00:00:00Z,Shigella virus SHSML521,169621,complete
NC_031091,2016-09-23T00:00:00Z,Pseudomonas phage MD8,43277,complete
NC_031092,2016-09-23T00:00:00Z,Citrobacter virus SH2,39158,complete
NC_031093,2016-09-23T00:00:00Z,Sanxia Water Strider Virus 5,12978,complete
NC_031094,2016-09-23T00:00:00Z,Streptococcus virus 9872,33105,complete
NC_031095,2016-09-23T00:00:00Z,Klebsiella virus PKO111,168758,complete
NC_031096,2016-09-23T00:00:00Z,Pectobacterium virus PP90,44570,complete
NC_031097,2016-09-23T00:00:00Z,Gordonia virus Zirinka,52077,complete
NC_031098,2016-09-23T00:00:00Z,Acinetobacter phage vB_AbaS_TRS1,40749,complete
NC_031099,2016-09-23T00:00:00Z,Gordonia virus Hedwig,44536,complete
NC_031100,2016-09-23T00:00:00Z,Bacillus phage Phrodo,164443,complete
NC_031101,2016-09-23T00:00:00Z,Weissella phage WCP30,33697,complete
